"","low","high","tree_sizes"
"1",323.006903833568,583.143772563727,10
"2",420.162524807701,686.903176099985,15
"3",507.181025864725,778.53824770566,20
"4",587.235077552466,861.961759180344,25
"5",662.056981617501,939.285202738698,30
"6",732.727366077171,1011.81365512994,35
"7",799.979419116526,1080.42580035645,40
"8",864.3404290947,1145.74937244137,45
"9",926.206225378947,1208.25283583088,50
"10",985.88390917604,1268.29772088774,55
"11",1043.6180537274,1326.17055611057,60
"12",1099.60761992246,1382.10339381053,65
"13",1154.01734138677,1436.28756962106,70
"14",1206.98565442995,1488.88325097255,75
"15",1258.63038253574,1540.02625842412,80
"16",1309.05291220574,1589.83306065782,85
"17",1358.34132596867,1638.40451085485,90
"18",1406.57279659688,1685.82869393766,95
"19",1453.81544655782,1732.18313194667,100
"20",1500.12981297965,1777.53651712436,105
"21",1545.57001667164,1821.95009153607,110
"22",1590.1847057568,1865.47875811569,115
"23",1634.01782531011,1908.17198483202,120
"24",1677.10925101991,1950.07454751829,125
"25",1719.49531539167,1991.22714546072,130
"26",1761.20924816298,2031.66691560136,135
"27",1802.28154758667,2071.42786519367,140
"28",1842.74029552413,2110.54123829708,145
"29",1882.61142650425,2149.03582816321,150
"30",1921.91895879008,2186.93824504168,155
"31",1960.68519387522,2224.2731470027,160
"32",1998.93088957965,2261.06343988143,165
"33",2036.6754109362,2297.33045128697,170
"34",2073.93686228993,2333.09408270528,175
"35",2110.73220342198,2368.37294300205,180
"36",2147.07735202223,2403.18446605456,185
"37",2182.98727444311,2437.54501477805,190
"38",2218.47606634934,2471.46997343764,195
"39",2253.55702462024,2504.9738298322,200
"40",2288.24271164959,2538.07024868734,205
"41",2322.54501301361,2570.77213738981,210
"42",2356.47518933373,2603.09170502634,215
"43",2390.04392304069,2635.04051554902,220
"44",2423.26136064642,2666.62953577218,225
"45",2456.1371510461,2697.86917880723,230
"46",2488.68048030189,2728.76934345906,235
"47",2520.9001033001,2759.33945003761,240
"48",2552.80437262237,2789.58847297901,245
"49",2584.40126492842,2819.52497061995,250
"50",2615.69840511062,2849.15711242586,255
"51",2646.70308844877,2878.49270393644,260
"52",2677.42230096634,2907.53920966028,265
"53",2707.8627381655,2936.30377412278,270
"54",2738.03082229792,2964.7932412479,275
"55",2767.93271831053,2993.01417223361,280
"56",2797.57434858987,3020.97286206304,285
"57",2826.96140661527,3048.67535477759,290
"58",2856.0993696191,3076.12745762464,295
"59",2884.99351034202,3103.33475418058,300
"60",2913.6489079622,3130.30261653925,305
"61",2942.07045826898,3157.03621664653,310
"62",2970.26288314491,3183.54053685392,315
"63",2998.23073941329,3209.8203797564,320
"64",3025.97842710318,3235.88037737357,325
"65",3053.51019717853,3261.7249997274,330
"66",3080.83015877386,3287.35856286483,335
"67",3107.94228597508,3312.78523636891,340
"68",3134.85042418012,3338.00905039813,345
"69",3161.55829607143,3363.03390229005,350
"70",3188.06950722913,3387.86356276204,355
"71",3214.38755141119,3412.50168173905,360
"72",3240.51581552497,3436.95179383576,365
"73",3266.45758431196,3461.217323518,370
"74",3292.21604476613,3485.30158996643,375
"75",3317.79429030426,3509.20781166325,380
"76",3343.19532470539,3532.93911072135,385
"77",3368.422065835,3556.49851697331,390
"78",3393.4773491683,3579.88897183671,395
"79",3418.36393112585,3603.11333197047,400
"80",3443.08449223393,3626.17437273622,405
"81",3467.64164012062,3649.07479147711,410
"82",3492.03791235841,3671.81721062612,415
"83",3516.27577916263,3694.40418065434,420
"84",3540.35764595495,3716.83818286967,425
"85",3564.28585579999,3739.12163207478,430
"86",3588.06269172289,3761.25687909333,435
"87",3611.69037891485,3783.24621317219,440
"88",3635.1710868334,3805.09186426725,445
"89",3658.50693120343,3826.79600521952,450
"90",3681.69997592489,3848.36075382818,455
"91",3704.75223489226,3869.78817482634,460
"92",3727.66567373109,3891.08028176522,465
"93",3750.44221145597,3912.23903881189,470
"94",3773.08372205451,3933.26636246533,475
"95",3795.59203600125,3954.16412319559,480
"96",3817.96894170528,3974.93414700994,485
"97",3840.21618689531,3995.57821695021,490
"98",3862.33547994532,4016.09807452501,495
"99",3884.32849114395,4036.49542108011,500
"100",3906.1968539107,4056.77191911048,505
"101",3927.9421659615,4076.92919351686,510
"102",3949.56599042634,4096.96883280979,515
"103",3971.06985692136,4116.89239026376,520
"104",3992.45526257766,4136.70138502413,525
"105",4013.723673029,4156.3973031689,530
"106",4034.8765233604,4175.98159872794,535
"107",4055.91521901954,4195.45569466151,540
"108",4076.84113669276,4214.82098380011,545
"109",4097.65562514732,4234.07882974765,550
"110",4118.36000604155,4253.2305677495,555
"111",4138.95557470439,4272.27750552727,560
"112",4159.44360088574,4291.22092408175,565
"113",4179.82532947894,4310.0620784656,570
"114",4200.10198121667,4328.8021985271,575
"115",4220.27475334153,4347.4424896263,580
"116",4240.34482025225,4365.98413332493,585
"117",4260.3133341269,4384.42828805105,590
"118",4280.18142552382,4402.77608973977,595
"119",4299.95020396148,4421.02865245097,600
