"","low","high","tree_sizes"
"1",28.8122245497439,81.6291454828893,10
"2",27.1209162334975,66.6353952425477,15
"3",25.6657149524195,56.9251712776985,20
"4",24.3999339846146,50.0621225236436,25
"5",23.2886037302595,44.9260790805944,30
"6",22.3049367488339,40.9233126600579,35
"7",21.4280386222871,37.7074862133092,40
"8",20.6413593687553,35.0620054151479,45
"9",19.9316138517078,32.844020228001,50
"10",19.2880111532534,30.9552721332625,55
"11",18.7016935091921,29.3258273092381,60
"12",18.1653207741517,27.9044821186864,65
"13",17.672757990919,26.6528405428401,70
"14",17.2188372914859,25.5415163803452,75
"15",16.7991742229882,24.5476178443036,80
"16",16.4100244815023,23.6530344567887,85
"17",16.0481710277659,22.8432416935178,90
"18",15.7108343112406,22.1064489218656,95
"19",15.3956002571635,21.4329804546144,100
"20",15.1003620415408,20.8148182923044,105
"21",14.8232726656733,20.2452591577721,110
"22",14.5627060607774,19.7186537093828,115
"23",14.317224983044,19.2302057614229,120
"24",14.0855543538998,18.7758159410775,125
"25",13.8665589967138,18.3519586761296,130
"26",13.6592249460571,17.9555844787823,135
"27",13.4626436776186,17.5840416366858,140
"28",13.2759987394722,17.2350129427604,145
"29",13.0985543683746,16.9064641871347,150
"30",12.9296457553194,16.5966019279637,155
"31",12.7686706879923,16.3038386410883,160
"32",12.6150823480185,16.0267637816801,165
"33",12.468383080938,15.7641196159473,170
"34",12.3281189889449,15.5147809269444,175
"35",12.1938752222921,15.2777378863339,180
"36",12.0652718662129,15.052081528506,185
"37",11.9419603372641,14.8369913755802,190
"38",11.8236202169375,14.6317248493949,195
"39",11.7099564618393,14.4356081754747,200
"40",11.6006969391847,14.2480285384854,205
"41",11.4955902441766,14.0684272921086,210
"42",11.3944037623431,13.8962940610435,215
"43",11.2969219453366,13.7311616008502,220
"44",11.2029447732448,13.5726013040238,225
"45",11.1122863802823,13.4202192591356,230
"46",11.0247738239582,13.2736527849571,235
"47",10.9402459805351,13.1325673738647,240
"48",10.8585525519121,12.9966539890344,245
"49",10.7795531710305,12.8656266683954,250
"50",10.703116594581,12.7392203953381,255
"51",10.629119973229,12.6171892020442,260
"52",10.5574481908078,12.499304476218,265
"53",10.4879932649919,12.3853534461328,270
"54",10.4206538028764,12.2751378223863,275
"55",10.3553345056806,12.1684725777118,280
"56",10.29194571748,12.0651848486905,285
"57",10.2304030134661,11.9651129453408,290
"58",10.1706268237506,11.8681054563822,295
"59",10.1125420891855,11.7740204395234,300
"60",10.0560779460623,11.6827246874644,305
"61",10.0011674369028,11.5940930614532,310
"62",9.94774724485573,11.5080078852253,315
"63",9.8957574494801,11.4243583930204,320
"64",9.84514130193402,11.3430402261075,325
"65",9.79584501779137,11.2639549729021,330
"66",9.74781758589518,11.1870097483186,335
"67",9.70101059181719,11.1121168084953,340
"68",9.65537805463767,11.0391931974572,345
"69",9.61087627588726,10.9681604226604,350
"70",9.56746369960615,10.8989441566908,355
"71",9.52510078257754,10.8314739626829,360
"72",9.48374987388239,10.7656830412777,365
"73",9.44337510300353,10.7015079971701,370
"74",9.40394227577901,10.6388886234905,375
"75",9.36541877756989,10.577767702447,380
"76",9.32777348306515,10.518090820811,385
"77",9.29097667219903,10.4598061989668,390
"78",9.25499995170266,10.4028645323741,395
"79",9.21981618185447,10.3472188443985,400
"80",9.18539940803154,10.29282434957,405
"81",9.15172479669884,10.2396383264112,410
"82",9.11876857550403,10.1876199990637,415
"83",9.08650797717398,10.136730427006,420
"84",9.05492118693423,10.0869324022228,425
"85",9.02398729319608,10.0381903532448,430
"86",8.99368624127664,9.99047025552524,435
"87",8.96399878993653,9.94373954767012,440
"88",8.93490647053689,9.89796705307899,445
"89",8.90639154863347,9.85312290659144,450
"90",8.87843698783973,9.80917848576912,455
"91",8.85102641580398,9.76610634647384,460
"92",8.8241440921578,9.72388016243068,465
"93",8.79777487830356,9.68247466849037,470
"94",8.77190420891923,9.64186560732871,475
"95",8.74651806506747,9.60202967934164,480
"96",8.72160294880477,9.56294449551401,485
"97",8.69714585919375,9.52458853305726,490
"98",8.67313426962908,9.48694109362776,495
"99",8.64955610639372,9.44998226395145,500
"100",8.62639972836837,9.41369287869436,505
"101",8.6036539078224,9.37805448543026,510
"102",8.58130781221946,9.34304931156827,515
"103",8.55935098697601,9.30866023311302,520
"104",8.53777333911483,9.27487074513993,525
"105",8.51656512175982,9.24166493387602,530
"106",8.49571691942208,9.20902745028519,535
"107",8.47521963403039,9.17694348506387,540
"108",8.45506447166271,9.14539874495967,545
"109",8.43524292993779,9.11437943033175,550
"110",8.41574678602904,9.08387221387747,555
"111",8.39656808526501,9.05386422045481,560
"112",8.37769913028335,9.02434300793526,565
"113",8.35913247070703,8.99529654902592,570
"114",8.34086089331382,8.96671321400392,575
"115",8.32287741267167,8.93858175431008,580
"116",8.30517526221448,8.91089128695206,585
"117",8.28774788573421,8.88363127967066,590
"118",8.27058892926693,8.85679153682599,595
"119",8.25369223335164,8.83036218596283,600
